participantId,experimentId,nasaTLX_mentalDemand,nasaTLX_physicalDemand,nasaTLX_temporalDemand,nasaTLX_effort,nasaTLX_frustration,selfEfficacy_performance,selfEfficacy_overallGoal,selfEfficacy_authorsReasoning,selfEfficacy_connectingIdeas,selfEfficacy_ownIdeas,selfEfficacy_alternativePerspectives,selfEfficacy_verifyCredibility,selfEfficacy_questionClaims,selfEfficacy_broaderImplications,llmUsefulness_overall,llmUsefulness_conceptHelp,llmUsefulness_findingsHelp,llmUsefulness_practicalHelp,llmUsefulness_timeSaving,llmTrust_competence,llmTrust_accuracy,llmTrust_benevolence,llmTrust_reliability,llmTrust_comfortActing,llmTrust_comfortUsing,attentionCheck_focus,attentionCheck_stronglyDisagreeCheck,demographics_age,demographics_gender,demographics_education,demographics_englishProficiency,demographics_workingSituation,demographics_workHoursPerWeek,demographics_yearsInOrganization,demographics_yearsInJob,demographics_jobTitle,demographics_industry,demographics_ethnicity,aiUsage_frequency,aiUsage_toolsUsed,aiUsage_purposes,studyFeedback,surveyCompletedAt
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,5,1,1,5,1,6,6,6,6,5,3,4,6,5,1,1,1,1,1,4,4,1,2,4,4,5,1,41,female,bachelor,native,full-time,38,7,6.5,Business Support Manager,IT,white,sometimes,ChatGPT,Research/Information gathering,,2025-12-22T11:07:18.589Z
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,6,3,3,6,2,7,7,7,7,6,4,5,4,6,6,6,5,5,3,5,5,6,4,3,3,5,1,54,female,master,native,full-time,40,6,6,Tenders and Awards Manager,STEM,white,very-often,Chat GPT,"Research/Information gathering, Writing assistance, Brainstorming/Ideation",Good luck with your study! And Merry Christmas. There's some fun 'meeting' cracker-style jokes in the Ai transcript.,2025-12-23T12:09:30.622Z
5752e09ecd7e970007bd76df,o6sKo0BAvvbbc4VFMDbo,6,1,3,6,2,6,6,7,6,4,2,5,6,5,,,,,,,,,,,,5,1,30,male,master,native,full-time,38,2,2,Lecturer,Education,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Coding assistance, Summarization",,2025-12-22T11:16:13.902Z
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,5,3,3,5,4,5,6,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,49,male,bachelor,native,full-time,36,7,6.5,Teacher,Education,white,often,"ChatGPT, Claude,","Writing assistance, Brainstorming/Ideation",,2025-12-23T09:42:57.552Z
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,5,2,1,6,1,4,5,3,4,4,3,3,2,4,6,7,4,4,6,6,5,5,3,4,4,4,1,43,female,high-school,native,full-time,40,5,2,Team Leader,Gaming,white,very-often,chat gpt,"Writing assistance, Research/Information gathering, Brainstorming/Ideation",,2025-12-23T12:06:47.951Z
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,4,1,1,7,3,7,7,7,7,4,1,4,4,7,1,1,1,1,1,4,4,4,4,4,2,5,1,34,male,high-school,native,full-time,40,3,17,plasterer ,construction ,white,rarely,"chatGPT, gemini","Summarization, Translation, Brainstorming/Ideation",,2025-12-22T22:21:55.676Z
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,5,1,2,5,2,4,6,6,6,6,5,6,5,6,7,4,6,6,5,5,6,4,3,3,3,5,1,32,female,associate,native,full-time,37,0,0,Associate Director,PR,white,sometimes,Gemini pro,"Research/Information gathering, Summarization",n/a - thanks!,2025-12-22T14:26:17.384Z
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,2,1,1,7,1,7,7,7,7,6,2,6,6,6,5,4,4,6,2,7,7,7,3,5,5,5,1,42,male,bachelor,native,full-time,140,18,7,Project Manager,Education,white,often,"ChatGPT, Copilot, and Gemini","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-19T19:28:08.565Z
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,4,1,1,6,1,6,7,7,7,6,2,6,6,7,,,,,,,,,,,,5,1,62,female,bachelor,native,full-time,50,15,15,Event Manager,Events & Catering,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Summarization",Actually really helpful and I shall implement some of the ideas and statements given in my own meetings to improve them - thanks!,2025-12-22T09:51:42.153Z
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,4,3,2,5,1,6,7,6,7,6,5,7,2,5,1,1,1,1,1,3,3,2,2,4,3,4,1,42,male,high-school,native,full-time,40,17,1,Supplier performance analyst,Retail,white,sometimes,Gemini,Research/Information gathering,,2025-12-22T08:18:54.030Z
5aeb5c9f0f8859000190a19b,wQFIEdjp0lIUQ2f8DRcH,5,1,3,6,2,4,5,5,5,6,2,7,6,5,,,,,,,,,,,,4,1,32,male,bachelor,native,full-time,38,1,1,Data Officer,Third Sector,white,sometimes,"ChatGPT, MidJourney, Stable Diffusion","Coding assistance, Brainstorming/Ideation, Writing assistance",I found the tables within the article difficult to follow,2025-12-22T12:34:01.824Z
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,3,1,1,5,2,5,5,6,6,5,6,5,5,5,2,1,1,1,1,1,1,1,2,1,1,5,1,31,female,bachelor,native,full-time,37,6,6,English Lecturer,Education,white,often,ChatGPT CoPilot,"Writing assistance, Summarization",,2025-12-23T07:38:56.151Z
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,3,1,2,6,1,6,7,6,6,6,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,5,1,35,male,master,native,full-time,37,1,1,IT Technician,Education,white,often,"Copilot, ChatGPT","Research/Information gathering, Brainstorming/Ideation, Summarization, Translation","I wasn't specifically asked to use the GenAI chatbot, and I didn't use it as I'm capable of reading an article myself without AI doing it for me. However, so of the required questions in the survey assumed that I had used it.",2025-12-22T10:40:51.063Z
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,5,2,1,3,2,5,6,5,6,5,3,4,2,5,4,4,4,4,4,5,4,4,4,4,4,5,1,25,male,master,native,full-time,43,5,3.5,Front end supervisor,Retail,white,very-often,"Chat GPT, Gemini","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-22T18:18:41.279Z
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,5,1,1,7,1,7,7,7,7,6,1,4,4,7,7,7,7,7,7,7,7,7,6,7,7,5,1,44,female,associate,native,full-time,40,5,5,Principal PRICE Trainer,Adult education,white,sometimes,Co-pilot and ChatGPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization, Other","I really enjoyed this study, thank you.",2025-12-23T11:25:46.805Z
5c4277ac1242910001bdbf1a,E6q3NXOWu8Pi6ThLaA8U,6,2,1,3,5,6,6,6,6,5,3,5,4,5,3,2,3,3,1,3,3,2,1,1,1,5,1,34,male,bachelor,native,full-time,40,8,11,English Teacher,Educator,white,never,,,,2025-12-19T23:06:57.281Z
5c509487172b6c0001779b34,7PzgmGQT1E6rL3cSujpR,2,1,4,2,1,6,7,7,7,6,7,6,5,5,7,6,6,5,4,5,4,4,4,3,4,5,1,35,female,master,native,full-time,32,2,2,HR Manager,Transport,black,often,,"Writing assistance, Brainstorming/Ideation",,2025-12-22T12:44:05.477Z
5c86d5a58085800016135bd2,S7zaq6LMWGcLOfiTdxYa,6,1,1,6,5,6,6,6,4,6,5,3,4,6,5,6,5,3,6,6,4,2,4,3,5,4,1,42,female,bachelor,native,full-time,34,10,5,Careers Manager,Education,white,sometimes,Copilot,"Writing assistance, Research/Information gathering, Summarization",,2025-12-22T14:28:16.786Z
5ca62a239ffcce0001036b6b,fgtNvJcdmFDcy2mXVxJS,3,1,1,5,1,6,6,6,6,7,3,4,3,7,5,3,6,5,5,5,6,5,5,3,3,5,1,29,female,master,native,full-time,37,5,0.5,Policy Manager,Government,white,rarely,CoPilot,"Research/Information gathering, Brainstorming/Ideation",This was really interesting and will certainly impact how I approach meeting strategies in future,2025-12-22T12:14:48.431Z
5cd4ad19f014930017d35d6a,h1ujA85ksEDNldOgpihQ,5,3,1,5,3,7,7,7,7,7,4,5,6,5,7,7,7,7,7,6,5,6,7,6,7,4,1,42,female,high-school,native,full-time,40,2.5,2,CEO,Professional Services,white,often,Perplexity AI,"Brainstorming/Ideation, Summarization, Translation, Writing assistance, Research/Information gathering",None.,2025-12-22T11:05:45.202Z
5cdd11ab4ea13d0001a5c036,Zf4gbNKA4bWgvFtVcino,3,3,3,6,2,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,4,1,40,male,high-school,native,full-time,40,18,18,Operations manager,Financial services,white,rarely,None,Writing assistance,,2025-12-22T16:03:10.167Z
5cde02d000d670000184ea3b,xkB7yNDPV8izBOyVepVK,2,1,1,2,2,7,7,7,7,6,5,3,5,7,1,1,1,1,1,4,4,3,5,3,2,5,1,33,female,bachelor,native,full-time,40,1,1,Teacher,Education,white,very-often,Gemini,"Writing assistance, Research/Information gathering, Coding assistance, Brainstorming/Ideation, Summarization",,2025-12-20T22:55:59.212Z
5d09edb73d40080001655677,YEkRsyRuKQYfcAMN1YEZ,3,1,1,6,2,6,7,6,6,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,5,1,37,male,master,native,full-time,44,3,3,Head of department,Technology,white,very-often,"ChatGPT, Copilot, Gemini","Writing assistance, Brainstorming/Ideation, Research/Information gathering, Summarization, Translation",None of the sources were post COVID. It would be interesting to see a similar study after a greater shift to remote collaboration.,2025-12-22T15:38:04.473Z
5d67ed161976cc0019cc8a10,Ih7tdA6qZrd7T4M6YP6k,5,1,2,5,2,6,6,6,5,5,6,3,3,5,,,,,,,,,,,,5,1,54,female,bachelor,native,full-time,40,2,2,business manager,local government,white,rarely,copilot,Research/Information gathering,,2025-12-22T08:49:55.962Z
5d94ce7b72b4550016906484,dDdGEGVKBtdWookJEkg8,5,2,3,6,2,6,6,6,6,6,3,3,3,5,,,,,,,,,,,,5,1,31,female,bachelor,native,full-time,40,2,2,Admissions Manager,Education,white,often,microsoft copilot,"Writing assistance, Summarization, Translation, Brainstorming/Ideation",,2025-12-22T09:34:52.435Z
5d9b7c7efaa2860364b16476,NpggUHSCfGD0L17YoCDF,6,4,5,2,6,6,7,4,5,6,5,7,5,6,6,2,5,6,4,6,4,5,6,2,2,4,1,36,male,bachelor,native,full-time,45,6,5,Manager,Manufacturing ,white,very-often,"ChatGPT, Gemini","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-19T20:51:20.972Z
5d9cb58ee8783f0019c8bd06,FBf7zX7qdgQVYScqFw5A,5,2,5,7,3,7,6,7,5,4,2,6,1,6,3,4,4,5,6,6,7,6,7,7,7,5,1,38,female,bachelor,native,full-time,40,8,4,Digital Marketting Coordinator,Logistics,white,often,,"Writing assistance, Brainstorming/Ideation, Summarization, Research/Information gathering",,2025-12-19T23:30:48.613Z
5da78f61a60c0d0017d6ed89,foGpA2pxSBu3daJJxMfx,7,1,4,6,1,7,7,7,6,7,4,7,7,7,,,,,,,,,,,,5,1,40,female,master,native,full-time,41,8,17,Lawyer,Legal,other,sometimes,ChatGPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation",,2025-12-22T22:07:17.793Z
5dcf14459595a105c52cd304,eEgicFZryM2qwheeB8eS,6,1,1,6,3,6,6,7,5,6,3,1,1,6,,,,,,,,,,,,5,1,32,female,bachelor,native,full-time,40,2,2,Class Teacher,Education,white,often,ChatGPT,"Research/Information gathering, Brainstorming/Ideation",,2025-12-22T10:12:15.999Z
5dd9a7ff98981d926df9ea18,ojTh9UyW1Th8mezo0FCS,4,1,1,5,1,7,7,7,7,5,3,4,3,6,,,,,,,,,,,,5,1,26,male,bachelor,native,full-time,50,3,3,Subject Matter Expert,Information & Technology,white,often,"ChatGPT, Qwen, Deepseek, in-house model (company owned)","Research/Information gathering, Coding assistance","Really cool study although I would say I did finish reading personally a few minutes before the timer allowed me to continue, it was generally a good amount of time to read and take in the article though.",2025-12-22T06:37:08.067Z
5e1f06e67a9ded238481246e,kzOTLQe4Yc3fqXTmNWWO,5,1,4,6,2,4,5,5,5,5,4,3,4,6,5,6,6,5,6,6,6,4,4,3,3,5,1,31,female,high-school,native,full-time,40,1,1,Key Account Manager,Technology,white,sometimes,Co Pilot,Summarization,,2025-12-23T12:07:07.234Z
5e299d8c2e9dc4000be0fde0,XL4wVgjnJj7j6UKbTmba,6,1,7,7,4,5,6,6,5,5,3,4,5,6,,,,,,,,,,,,5,1,31,male,bachelor,native,full-time,40,3,1.5,User Experience Design Lead,Travel & Tourism,white,often,"ChatGPT, Copilot","Brainstorming/Ideation, Other",,2025-12-22T13:02:13.670Z
5e3c29ac4c3831000c5bdb68,mg8QWlX06oYDKZNeRoeN,5,3,4,6,4,6,5,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4,5,4,4,5,1,37,female,bachelor,native,full-time,37,3,15,Senior IT Support Engineer,IT,black,often,"ChatGPT, CoPilot","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-23T11:39:45.308Z
5e6155e6f169c0046b6d6518,ew0Oi3X4BB6UNYa4GUKE,1,1,1,3,1,7,7,7,7,6,7,6,7,7,2,2,2,2,2,4,4,4,2,2,2,5,1,34,male,doctorate,native,full-time,40,2,5,Professor ,Education ,white,rarely,"ChatGPT, Gemini","Research/Information gathering, Brainstorming/Ideation, Coding assistance",,2025-12-21T15:18:10.574Z
5e64da5ac34e832466061bf8,GdJwiwyTaSBT2HItDAPp,4,2,1,6,2,6,7,6,6,6,6,7,7,7,2,4,5,5,5,6,4,3,2,2,3,4,1,43,male,doctorate,native,full-time,35,15,2,Data Strategy LEad,Finance,white,sometimes,Mistral Le Chat,Research/Information gathering,,2025-12-22T12:49:25.441Z
5e6e6497d33339419afd90f9,oeqjHjqWfisY0QbOLLJr,5,2,4,6,3,5,6,6,5,4,5,2,5,7,6,5,5,4,6,5,6,6,6,5,6,5,1,37,male,bachelor,native,full-time,40,7,5,Tactical Analyst,Creative,white,sometimes,chatgpt,"Research/Information gathering, Writing assistance",,2025-12-22T10:49:43.042Z
5e7ca836a60b642ec70880b1,O1vwITchcMOre9N357JN,4,4,2,4,2,6,6,6,6,4,5,4,5,4,6,6,5,5,6,5,5,5,6,7,7,5,1,31,male,bachelor,native,full-time,40,1,2,Corporate Tax Assistant Manager,Professional Services,white,rarely,,"Research/Information gathering, Writing assistance",,2025-12-22T20:21:00.956Z
5e7dd5b90923ad0009f80bbc,e8GmJ0XvFC9gwL9pJiQ0,2,1,1,4,1,7,7,7,7,6,6,2,2,7,,,,,,,,,,,,5,1,49,female,doctorate,native,full-time,40,5,1,Psychologist,Mental Health,black,often,"ChatGPT, Gemini","Writing assistance, Research/Information gathering, Coding assistance, Brainstorming/Ideation, Summarization",,2025-12-22T12:09:46.929Z
5e8307bae3b23d01d2259e4c,QgJYPhvOEOMISCOj5dIJ,5,1,2,6,3,3,4,5,4,4,3,5,5,5,6,6,5,6,5,5,5,6,5,5,5,5,1,59,male,high-school,native,full-time,38,6,6,warehouseman,info tech,white,sometimes,chat gp,"Writing assistance, Research/Information gathering","at points the info given just went over the same arguments on a continued basis, the ai actually gave some more useful help",2025-12-22T07:18:58.344Z
5e83425144753905a3a17ad8,S0RsN8X0DUDMEDyIhgQU,4,2,1,5,1,6,7,7,7,6,6,6,2,6,4,4,4,4,4,4,4,4,4,4,4,5,1,50,male,high-school,native,full-time,40,25,16,Business Analyst,Manufacturing,white,rarely,ChatGPT,"Coding assistance, Brainstorming/Ideation, Summarization, Research/Information gathering",,2025-12-22T10:57:44.044Z
5e999a581e025f1cfd5e7090,ZcGlYrnGNXwVDg4CGitT,3,1,1,5,2,7,7,7,6,6,2,3,3,6,5,4,5,5,7,7,6,5,5,6,6,5,1,31,female,bachelor,native,full-time,35,1,1,HR Advisor,Shipping,white,very-often,"chat gpt, co pilot","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization, Translation",,2025-12-22T13:10:11.177Z
5ea9cc9195f36c126a27d0a7,X5JJzlgugqu87nJAyj34,7,1,1,6,3,6,6,6,6,6,6,6,6,6,5,5,5,5,3,4,4,4,4,4,4,5,1,33,female,bachelor,native,full-time,37,3,2,Comms and Engagement Manager,Healthcare,white,often,Copilot,Writing assistance,,2025-12-22T09:25:04.320Z
5eb7c006b839846ea7a24178,ASH0R0O6bfOtJuGTcX0n,1,1,1,4,7,7,7,7,7,7,7,7,7,7,4,4,4,4,1,4,4,4,4,2,4,4,1,50,male,doctorate,native,full-time,35,18,30,teacher,education,white,very-often,ChatGPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization, Translation",20 minutes was way too long...,2025-12-20T12:53:59.020Z
5f0e1fecdc728111e1f7d093,Dd13CgWILpfxSs7fhRUU,5,3,6,7,1,7,7,7,7,5,5,3,4,6,1,1,1,1,1,4,4,4,5,2,3,5,1,27,male,bachelor,native,full-time,40,7,3,Area Manager,Sales,white,sometimes,"ChatGPT, Gemini, CoPilot, Grok","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",Great study overall.,2025-12-22T02:50:16.196Z
5f42a27e49962e4a7045a7b0,P2BIsTYbNf5vbwlbjL57,2,1,1,6,1,4,4,5,5,5,5,5,4,6,2,2,2,2,3,3,3,3,3,3,3,4,1,36,female,high-school,native,full-time,36,4,4,Manager,Education ,white,sometimes,Gemini,"Summarization, Research/Information gathering",,2025-12-22T17:03:46.621Z
5f4ae7cb6b68b56c2acb12c8,156ITSNqPsuY5IfL2Zbo,4,1,1,5,1,6,6,6,6,7,5,1,3,6,,,,,,,,,,,,5,1,45,female,high-school,native,full-time,34,8,5,Project Manager,Education,white,often,ChatGPT and Claude,"Brainstorming/Ideation, Summarization, Research/Information gathering, Writing assistance, Other","I have been to meetings like those that seemed to be discussed in the article. In my organization, we tend to naturally do some of the outlined suggestions such as only inviting those relevant to the meeting. Most in our organization that would and do attend necessary meetings tend to be high performers anyway, so our main issue is meeting length. We have done too many marathons over the years, as many of us actually work quite independently from each other and departments are small, so there is some burn out from the past. We would put off meeting, but then when we did meet, there would be a lot to discuss piled up. Now we have learned to hold more regular and concise meetings to avoid this, and have been able to be much more effective and less dreading these long and tedious meetings.",2025-12-19T19:31:55.722Z
5f6e76757befe43b22307387,u70agQP99KnkPaoXG1qq,5,2,3,7,2,6,6,6,5,6,5,6,6,6,5,4,5,5,4,6,6,4,2,5,5,5,1,48,male,bachelor,native,full-time,38,25,10,Trust IT Manager,Education,white,often,ChatGPT,"Writing assistance, Coding assistance, Summarization",I enjoyed that - ty,2025-12-22T23:18:28.912Z
5f95e7c5e49c564a01f040aa,y32v6LefUczxAxklLE6I,5,3,2,4,2,7,7,7,7,7,7,5,5,5,,,,,,,,,,,,3,1,37,female,doctorate,native,full-time,47,8,8,Associate Professor,Education,black,often,Chatgpt and Gemini,"Writing assistance, Research/Information gathering, Coding assistance, Brainstorming/Ideation, Summarization, Translation",,2025-12-20T02:25:18.060Z
5ff454f2f0b5ed607169fba6,ZXLJBbZzYuR2Oi9BJy1u,5,1,5,7,1,7,7,7,7,7,5,2,6,7,7,7,7,7,7,7,7,7,7,7,7,5,1,45,female,bachelor,very-fluent,full-time,35,3,3,Financial Accountant,Housing Association,black,very-often,ChatGPT and Copilot,"Writing assistance, Research/Information gathering, Summarization, Translation",I did not encounter technical problem with the study.,2025-12-22T05:39:49.544Z
601ac0440ae554365a73246b,kId0faSYfh5slBl0AKmj,5,1,1,3,1,5,5,5,5,3,2,1,1,6,7,6,7,6,7,7,7,4,5,6,6,4,1,29,female,master,native,full-time,40,2,2,Sales Executive,Healthcare,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-22T11:45:51.713Z
60673bc6496cefa66a61e737,RFahYgKlNHbvtaFtHVTs,5,1,1,5,4,7,7,7,6,6,4,4,4,5,,,,,,,,,,,,5,1,35,male,bachelor,native,full-time,40,4,4,Transfer operations associate,Financial Services,white,often,ChatGPT,"Writing assistance, Brainstorming/Ideation, Summarization, Research/Information gathering",,2025-12-22T11:26:15.959Z
60c75879fdf6194f658272fb,qweek1z4Gu2iADeA5hv4,7,4,4,7,6,4,3,4,4,3,4,3,5,3,,,,,,,,,,,,3,1,24,female,bachelor,native,full-time,40,3,3,paraprofessional ,"education, school",white,sometimes,none,Research/Information gathering,no,2025-12-21T22:57:07.980Z
60d4558116de644bde568dde,vTCrmhwefckTiCdKvtio,7,1,1,7,1,7,7,7,6,6,3,1,2,6,4,4,6,4,1,4,4,4,4,6,5,5,1,31,female,high-school,native,full-time,32,9,9,Administrator ,Real Estate ,white,very-often,Chat GPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-22T13:02:36.395Z
60d52a5dca16f851ab8b9b82,67hH5FJTOIvt2xZHtxYM,6,6,5,7,5,7,7,7,7,5,2,5,4,6,7,7,7,7,5,7,5,7,5,6,6,5,1,42,female,high-school,native,full-time,41,6,6,partner,construction ,"hispanic, white",often,"gemini, claude","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-21T09:20:44.704Z
60e308bd29d04d6d790aa1ad,kDgqQJ4MDV4y1ZTUKWiC,4,1,3,4,2,6,7,6,7,7,6,3,2,6,7,5,7,6,7,7,7,6,5,6,5,5,1,32,male,bachelor,native,full-time,40,2,2,Account Manager,Marketing,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization, Translation",,2025-12-22T03:34:57.187Z
